ID;MODEL;COIL TYPE;TUBES;ROWS;CIRCUITS;P.A.;FIN THICK;LENGTH;TUB THICK;FIN MAT;CONN DIA;TYPE;TWIN_DES;TWOUT_DES;TAIN_DES;RH_DES;QA_DES;QW_DES;POW_WATER;POW_MEG_5;POW_MEG_10;POW_MEG_15;POW_MEG_20;POW_MEG_25;POW_MEG_30;POW_MEG_35;POW_MEG_40;POW_MEG_45;POW_MEG_50;POW_MPG_5;POW_MPG_10;POW_MPG_15;POW_MPG_20;POW_MPG_25;POW_MPG_30;POW_MPG_35;POW_MPG_40;POW_MPG_45;POW_MPG_50;UA_WATER;UA_MEG_5;UA_MEG_10;UA_MEG_15;UA_MEG_20;UA_MEG_25;UA_MEG_30;UA_MEG_35;UA_MEG_40;UA_MEG_45;UA_MEG_50;UA_MPG_5;UA_MPG_10;UA_MPG_15;UA_MPG_20;UA_MPG_25;UA_MPG_30;UA_MPG_35;UA_MPG_40;UA_MPG_45;UA_MPG_50;QW_DP_DES;DP_DES;KV_W;QW_MIN;QW_MAX;SURFACE;COMM_FACTOR;ACCORDING DESIGN CODE;TUBE EXTERNAL DIAMETER OD;TUBE THICKNESS;FINS PITCH;FIN THICKNESS;CONNECTIONS SIDE;CONNECTIONS SIZE;CONNECTIONS TYPE;TUBE & HEADER MATERIAL;FINS MATERIAL;FRAME MATERIAL;COATING MATERIAL
53;P40AC-3R-56T-5550A-2,3PA-168C;94;56;3;168;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;38.5;35;30;0.5;111888;34.36983566;138678;136632;134870;132348;128600;121818;108928;92176;68864;55678;54170;136576;133720;129026;121920;100098;76124;60446;56608;54836;53404;31760.33204;31015.8947;30394.06223;29485.99818;28135.65968;25723.34696;21468.68013;16671.16007;11110.31259;8458.807325;8187.75507;30958.10486;29851.01501;28056.9582;25485.62556;18595.52621;12584.23678;9316.602113;8598.972951;8278.592484;8023.543769;159;59.29;20.64935065;29.85449366;252.9018631;999.3099832;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
54;P40AC-3R-56T-5550A-2,3PA-084C;94;56;3;84;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;38.5;35;30;0.5;111888;37.92521529;153026;152318;151046;149162;147422;145246;143554;141090;138096;132776;126366;151012;149874;148810;146754;143446;141354;138504;134158;132528;130288;36597.30818;36418.60553;35964.19903;35250.79488;34645.81103;33886.38879;33387.21939;32580.12452;31577.59608;29641.43254;27377.55932;35762.92564;35335.71093;34952.44677;34143.88089;32830.47978;32103.89076;31104.73142;29554.30883;29150.9123;28536.84172;116;59.18;15.07892943;14.92724683;184.6784149;999.3099832;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
55;P40AC-3R-56T-5550A-2,3PA-056C;94;56;3;56;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;42.5;35;30;0.5;111888;22.53830264;194574;192708;191126;189122;186956;183578;180052;177824;173342;166476;156118;192718;189968;188250;186008;182914;179416;174892;168856;159220;145368;36436.80343;35851.01424;35380.41856;34768.19157;34144.32898;33080.55682;32028.11774;31546.22987;30221.11638;28084.90869;24939.78143;35787.3713;34754.80804;34189.10045;33449.54384;32428.03413;31324.39036;29918.14535;28075.28055;25205.96613;21439.20518;60;59.47;7.780406377;9.951497888;95.29012807;999.3099832;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
56;P40AC-3R-56T-5550A-2,3PA-042C;94;56;3;42;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;111888;19.33716882;222360;221120;218548;216626;213830;210358;207416;204208;199968;195104;188478;220752;217992;216246;213976;210314;206668;203824;200062;194198;185434;37179.19421;36946.94396;36125.49196;35638.61215;34859.11986;33886.87614;33206.86483;32481.80703;31404.27125;30142.73319;28310.99602;36690.03714;35705.21513;35183.83598;34503.41791;33346.66074;32294.63228;31630.56684;30701.70224;29104.93976;26671.57152;46;60.84;5.897435897;7.463623416;72.2285437;999.3099832;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
57;P40AC-3R-56T-5550A-2,3PA-028C;94;56;3;28;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;111888;20.10274272;231156;229744;227706;225972;222966;220098;217308;214690;210918;207216;203122;229342;227058;225984;223906;220988;218258;215594;212588;208868;205756;39515.15891;39205.59286;38597.79274;38183.56882;37287.7982;36543.52067;35913.17668;35422.35564;34496.32441;33646.47806;32679.69822;38919.55628;38108.17179;37861.14811;37234.52649;36330.51918;35597.0883;34978.9973;34305.77554;33425.08797;32858.96691;26;66.52;3.187845226;4.975748944;39.04297092;999.3099832;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
58;P40AC-4R-56T-5550A-2,3PA-224C;94;56;4;224;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;38.5;35;30;0.5;111888;40.90770194;165058;163054;161612;156978;150408;137076;118698;95246;72228;69634;67800;161988;157422;149880;138218;106038;79368;72754;71132;68736;66826;41099.37367;40243.66741;39674.70196;37575.16356;34737.25908;29428.72621;23195.82762;16669.97082;11447.56048;10954.36962;10622.9624;39658.40724;37534.86702;34209.28501;29569.82654;19277.35951;12831.36027;11466.04535;11166.27914;10716.4025;10372.01903;167;59.62;21.6282054;39.80599155;264.8903364;1332.413311;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
59;P40AC-4R-56T-5550A-2,3PA-112C;94;56;4;112;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;40;35;30;0.5;111888;34.21521607;197114;195480;193550;190566;188114;185100;181652;177246;165572;143504;118856;195748;192572;189334;188130;181898;172706;157236;138768;137018;129112;47379.47437;46743.84995;45934.10291;44607.27279;43650.46227;42482.78186;41179.41649;39435.59865;34503.1044;26506.92316;19440.66779;46816.30009;45247.56375;43713.16852;43304.19756;40445.10691;36512.29337;30599.60297;24644.29393;24241.79285;22064.59802;140;60.37;18.01845078;19.90299578;220.6800518;1332.413311;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
60;P40AC-4R-56T-5550A-2,3PA-075C;94;56;4;75;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;40;35;30;0.5;111888;35.7510212;205960;204670;203514;201186;199194;196278;192978;190286;187388;182420;176074;203944;202294;200786;198204;194968;192286;188584;184542;181404;176376;50995.81777;50531.13628;50131.44922;49087.47416;48323.19737;47116.0315;45789.13243;44877.67395;43914.23037;41901.62934;39190.62544;50011.68617;49238.98312;48574.86941;47353.48795;45862.68773;44774.6852;43249.55866;41664.50759;40624.29847;38758.83073;78;59.2;10.13756728;13.32789896;124.1593353;1332.413311;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Opposite;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
61;P40AC-4R-56T-5550A-2,3PA-056C;94;56;4;56;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;111888;23.34741149;268476;267128;264432;261756;258696;254796;250572;246358;241252;234574;223458;267082;263686;261408;258166;254740;250168;245740;239502;231816;213466;50808.55318;50520.87148;49471.70764;48523.54039;47489.13943;46148.51573;44771.70128;43506.74984;41904.44704;39682.88458;35787.29108;50349.09756;48793.91178;47901.52096;46606.87303;45345.14119;43670.46344;42212.31153;40095.33966;37558.05152;31466.59323;62;62.52;7.841194107;9.951497888;96.03462268;1332.413311;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
62;P40AC-4R-56T-5550A-2,3PA-037C;94;56;4;37;2.3;0.15;5550;0.4;9;209;cross-flow both unmixed;45;35;30;0.5;111888;24.23377596;278664;277120;275096;272376;269646;266630;263532;259062;255132;250014;245290;276916;274110;272032;270394;266150;263492;259760;257368;252938;248948;54351.5447;53946.17568;53236.93226;52217.18537;51319.38017;50394.78352;49549.04921;48066.61404;46968.60779;45327.74925;43971.5421;53668.02675;52365.69194;51537.00281;51039.81976;49250.62632;48450.65701;47227.41559;46818.3098;45493.4263;44504.57911;33;61.79;4.198119941;6.575096819;51.41625867;1332.413311;5%;2014/68/UE(PED) - Art. 4.3;16.45;0.4;2.3;0.15;Same;1xDN100;Victaulic;Copper;Al/Mg 2,5;AISI 304;Natural finish
